"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"122","EUREON2Y=",2015-12-03,"11:01:00",-0.35,2015-12-03 11:01:00,2015-12-03 12:01:00,"12:01:00"
"123","EUREON2Y=",2015-12-03,"11:02:00",-0.3501,2015-12-03 11:02:00,2015-12-03 12:02:00,"12:02:00"
"124","EUREON2Y=",2015-12-03,"11:03:00",-0.35,2015-12-03 11:03:00,2015-12-03 12:03:00,"12:03:00"
"125","EUREON2Y=",2015-12-03,"11:04:00",-0.34985,2015-12-03 11:04:00,2015-12-03 12:04:00,"12:04:00"
"126","EUREON2Y=",2015-12-03,"11:05:00",-0.3496,2015-12-03 11:05:00,2015-12-03 12:05:00,"12:05:00"
"127","EUREON2Y=",2015-12-03,"11:06:00",-0.34915,2015-12-03 11:06:00,2015-12-03 12:06:00,"12:06:00"
"128","EUREON2Y=",2015-12-03,"11:07:00",-0.3495,2015-12-03 11:07:00,2015-12-03 12:07:00,"12:07:00"
"129","EUREON2Y=",2015-12-03,"11:08:00",-0.3499,2015-12-03 11:08:00,2015-12-03 12:08:00,"12:08:00"
"130","EUREON2Y=",2015-12-03,"11:09:00",-0.3499,2015-12-03 11:09:00,2015-12-03 12:09:00,"12:09:00"
"131","EUREON2Y=",2015-12-03,"11:10:00",-0.346,2015-12-03 11:10:00,2015-12-03 12:10:00,"12:10:00"
"132","EUREON2Y=",2015-12-03,"11:11:00",-0.351,2015-12-03 11:11:00,2015-12-03 12:11:00,"12:11:00"
"133","EUREON2Y=",2015-12-03,"11:12:00",-0.3497,2015-12-03 11:12:00,2015-12-03 12:12:00,"12:12:00"
"134","EUREON2Y=",2015-12-03,"11:13:00",-0.3494,2015-12-03 11:13:00,2015-12-03 12:13:00,"12:13:00"
"135","EUREON2Y=",2015-12-03,"11:14:00",-0.3482,2015-12-03 11:14:00,2015-12-03 12:14:00,"12:14:00"
"136","EUREON2Y=",2015-12-03,"11:15:00",-0.3472,2015-12-03 11:15:00,2015-12-03 12:15:00,"12:15:00"
"137","EUREON2Y=",2015-12-03,"11:16:00",-0.34685,2015-12-03 11:16:00,2015-12-03 12:16:00,"12:16:00"
"138","EUREON2Y=",2015-12-03,"11:17:00",-0.348,2015-12-03 11:17:00,2015-12-03 12:17:00,"12:17:00"
"139","EUREON2Y=",2015-12-03,"11:18:00",-0.346,2015-12-03 11:18:00,2015-12-03 12:18:00,"12:18:00"
"140","EUREON2Y=",2015-12-03,"11:19:00",-0.3474,2015-12-03 11:19:00,2015-12-03 12:19:00,"12:19:00"
"141","EUREON2Y=",2015-12-03,"11:20:00",-0.34755,2015-12-03 11:20:00,2015-12-03 12:20:00,"12:20:00"
"142","EUREON2Y=",2015-12-03,"11:21:00",-0.348,2015-12-03 11:21:00,2015-12-03 12:21:00,"12:21:00"
"143","EUREON2Y=",2015-12-03,"11:22:00",-0.3483,2015-12-03 11:22:00,2015-12-03 12:22:00,"12:22:00"
"144","EUREON2Y=",2015-12-03,"11:23:00",-0.34845,2015-12-03 11:23:00,2015-12-03 12:23:00,"12:23:00"
"145","EUREON2Y=",2015-12-03,"11:24:00",-0.349,2015-12-03 11:24:00,2015-12-03 12:24:00,"12:24:00"
"146","EUREON2Y=",2015-12-03,"11:25:00",-0.348,2015-12-03 11:25:00,2015-12-03 12:25:00,"12:25:00"
"147","EUREON2Y=",2015-12-03,"11:26:00",-0.34845,2015-12-03 11:26:00,2015-12-03 12:26:00,"12:26:00"
"148","EUREON2Y=",2015-12-03,"11:27:00",-0.3475,2015-12-03 11:27:00,2015-12-03 12:27:00,"12:27:00"
"149","EUREON2Y=",2015-12-03,"11:28:00",-0.34785,2015-12-03 11:28:00,2015-12-03 12:28:00,"12:28:00"
"150","EUREON2Y=",2015-12-03,"11:29:00",-0.3477,2015-12-03 11:29:00,2015-12-03 12:29:00,"12:29:00"
"151","EUREON2Y=",2015-12-03,"11:30:00",-0.34735,2015-12-03 11:30:00,2015-12-03 12:30:00,"12:30:00"
"152","EUREON2Y=",2015-12-03,"11:31:00",-0.34705,2015-12-03 11:31:00,2015-12-03 12:31:00,"12:31:00"
"153","EUREON2Y=",2015-12-03,"11:32:00",-0.347,2015-12-03 11:32:00,2015-12-03 12:32:00,"12:32:00"
"154","EUREON2Y=",2015-12-03,"11:33:00",-0.346,2015-12-03 11:33:00,2015-12-03 12:33:00,"12:33:00"
"155","EUREON2Y=",2015-12-03,"11:34:00",-0.34705,2015-12-03 11:34:00,2015-12-03 12:34:00,"12:34:00"
"156","EUREON2Y=",2015-12-03,"11:35:00",-0.35,2015-12-03 11:35:00,2015-12-03 12:35:00,"12:35:00"
"157","EUREON2Y=",2015-12-03,"11:36:00",-0.3462,2015-12-03 11:36:00,2015-12-03 12:36:00,"12:36:00"
"158","EUREON2Y=",2015-12-03,"11:37:00",-0.346,2015-12-03 11:37:00,2015-12-03 12:37:00,"12:37:00"
"159","EUREON2Y=",2015-12-03,"11:38:00",-0.35,2015-12-03 11:38:00,2015-12-03 12:38:00,"12:38:00"
"160","EUREON2Y=",2015-12-03,"11:39:00",-0.344,2015-12-03 11:39:00,2015-12-03 12:39:00,"12:39:00"
"161","EUREON2Y=",2015-12-03,"11:40:00",-0.3471,2015-12-03 11:40:00,2015-12-03 12:40:00,"12:40:00"
"162","EUREON2Y=",2015-12-03,"11:41:00",-0.3478,2015-12-03 11:41:00,2015-12-03 12:41:00,"12:41:00"
"163","EUREON2Y=",2015-12-03,"11:42:00",-0.34805,2015-12-03 11:42:00,2015-12-03 12:42:00,"12:42:00"
"164","EUREON2Y=",2015-12-03,"11:43:00",-0.34755,2015-12-03 11:43:00,2015-12-03 12:43:00,"12:43:00"
"165","EUREON2Y=",2015-12-03,"11:44:00",-0.3476,2015-12-03 11:44:00,2015-12-03 12:44:00,"12:44:00"
"166","EUREON2Y=",2015-12-03,"11:45:00",-0.3479,2015-12-03 11:45:00,2015-12-03 12:45:00,"12:45:00"
