"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"90","EUREON2Y=",2013-07-04,"09:29:00",0.2615,2013-07-04 09:29:00,2013-07-04 11:29:00,"11:29:00"
"91","EUREON2Y=",2013-07-04,"09:30:00",0.2625,2013-07-04 09:30:00,2013-07-04 11:30:00,"11:30:00"
"92","EUREON2Y=",2013-07-04,"09:31:00",0.264,2013-07-04 09:31:00,2013-07-04 11:31:00,"11:31:00"
"93","EUREON2Y=",2013-07-04,"09:32:00",0.262,2013-07-04 09:32:00,2013-07-04 11:32:00,"11:32:00"
"94","EUREON2Y=",2013-07-04,"09:33:00",0.262,2013-07-04 09:33:00,2013-07-04 11:33:00,"11:33:00"
"95","EUREON2Y=",2013-07-04,"09:34:00",0.264,2013-07-04 09:34:00,2013-07-04 11:34:00,"11:34:00"
"96","EUREON2Y=",2013-07-04,"09:35:00",0.265,2013-07-04 09:35:00,2013-07-04 11:35:00,"11:35:00"
"97","EUREON2Y=",2013-07-04,"09:36:00",0.2635,2013-07-04 09:36:00,2013-07-04 11:36:00,"11:36:00"
"98","EUREON2Y=",2013-07-04,"09:37:00",0.263,2013-07-04 09:37:00,2013-07-04 11:37:00,"11:37:00"
"99","EUREON2Y=",2013-07-04,"09:38:00",0.263,2013-07-04 09:38:00,2013-07-04 11:38:00,"11:38:00"
"100","EUREON2Y=",2013-07-04,"09:39:00",0.263,2013-07-04 09:39:00,2013-07-04 11:39:00,"11:39:00"
"101","EUREON2Y=",2013-07-04,"09:40:00",0.261,2013-07-04 09:40:00,2013-07-04 11:40:00,"11:40:00"
"102","EUREON2Y=",2013-07-04,"09:41:00",0.263,2013-07-04 09:41:00,2013-07-04 11:41:00,"11:41:00"
"103","EUREON2Y=",2013-07-04,"09:42:00",0.262,2013-07-04 09:42:00,2013-07-04 11:42:00,"11:42:00"
"104","EUREON2Y=",2013-07-04,"09:43:00",0.265,2013-07-04 09:43:00,2013-07-04 11:43:00,"11:43:00"
"105","EUREON2Y=",2013-07-04,"09:44:00",0.2645,2013-07-04 09:44:00,2013-07-04 11:44:00,"11:44:00"
"106","EUREON2Y=",2013-07-04,"09:45:00",0.2645,2013-07-04 09:45:00,2013-07-04 11:45:00,"11:45:00"
"107","EUREON2Y=",2013-07-04,"09:46:00",0.2645,2013-07-04 09:46:00,2013-07-04 11:46:00,"11:46:00"
"108","EUREON2Y=",2013-07-04,"09:47:00",0.264,2013-07-04 09:47:00,2013-07-04 11:47:00,"11:47:00"
"109","EUREON2Y=",2013-07-04,"09:48:00",0.262,2013-07-04 09:48:00,2013-07-04 11:48:00,"11:48:00"
"110","EUREON2Y=",2013-07-04,"09:49:00",0.265,2013-07-04 09:49:00,2013-07-04 11:49:00,"11:49:00"
"111","EUREON2Y=",2013-07-04,"09:50:00",0.2635,2013-07-04 09:50:00,2013-07-04 11:50:00,"11:50:00"
"112","EUREON2Y=",2013-07-04,"09:51:00",0.2645,2013-07-04 09:51:00,2013-07-04 11:51:00,"11:51:00"
"113","EUREON2Y=",2013-07-04,"09:52:00",0.2645,2013-07-04 09:52:00,2013-07-04 11:52:00,"11:52:00"
"114","EUREON2Y=",2013-07-04,"09:53:00",0.263,2013-07-04 09:53:00,2013-07-04 11:53:00,"11:53:00"
"115","EUREON2Y=",2013-07-04,"09:54:00",0.263,2013-07-04 09:54:00,2013-07-04 11:54:00,"11:54:00"
"116","EUREON2Y=",2013-07-04,"09:55:00",0.2645,2013-07-04 09:55:00,2013-07-04 11:55:00,"11:55:00"
"117","EUREON2Y=",2013-07-04,"09:56:00",0.264,2013-07-04 09:56:00,2013-07-04 11:56:00,"11:56:00"
"118","EUREON2Y=",2013-07-04,"09:57:00",0.263,2013-07-04 09:57:00,2013-07-04 11:57:00,"11:57:00"
"119","EUREON2Y=",2013-07-04,"09:58:00",0.2655,2013-07-04 09:58:00,2013-07-04 11:58:00,"11:58:00"
"120","EUREON2Y=",2013-07-04,"09:59:00",0.264,2013-07-04 09:59:00,2013-07-04 11:59:00,"11:59:00"
"121","EUREON2Y=",2013-07-04,"10:00:00",0.265,2013-07-04 10:00:00,2013-07-04 12:00:00,"12:00:00"
"122","EUREON2Y=",2013-07-04,"10:01:00",0.263,2013-07-04 10:01:00,2013-07-04 12:01:00,"12:01:00"
"123","EUREON2Y=",2013-07-04,"10:02:00",0.267,2013-07-04 10:02:00,2013-07-04 12:02:00,"12:02:00"
"124","EUREON2Y=",2013-07-04,"10:03:00",0.265,2013-07-04 10:03:00,2013-07-04 12:03:00,"12:03:00"
"125","EUREON2Y=",2013-07-04,"10:04:00",0.265,2013-07-04 10:04:00,2013-07-04 12:04:00,"12:04:00"
"126","EUREON2Y=",2013-07-04,"10:05:00",0.267,2013-07-04 10:05:00,2013-07-04 12:05:00,"12:05:00"
"127","EUREON2Y=",2013-07-04,"10:06:00",0.265,2013-07-04 10:06:00,2013-07-04 12:06:00,"12:06:00"
"128","EUREON2Y=",2013-07-04,"10:07:00",0.265,2013-07-04 10:07:00,2013-07-04 12:07:00,"12:07:00"
"129","EUREON2Y=",2013-07-04,"10:08:00",0.27,2013-07-04 10:08:00,2013-07-04 12:08:00,"12:08:00"
"130","EUREON2Y=",2013-07-04,"10:09:00",0.269,2013-07-04 10:09:00,2013-07-04 12:09:00,"12:09:00"
"131","EUREON2Y=",2013-07-04,"10:10:00",0.269,2013-07-04 10:10:00,2013-07-04 12:10:00,"12:10:00"
"132","EUREON2Y=",2013-07-04,"10:11:00",0.269,2013-07-04 10:11:00,2013-07-04 12:11:00,"12:11:00"
"133","EUREON2Y=",2013-07-04,"10:12:00",0.269,2013-07-04 10:12:00,2013-07-04 12:12:00,"12:12:00"
"134","EUREON2Y=",2013-07-04,"10:13:00",0.268,2013-07-04 10:13:00,2013-07-04 12:13:00,"12:13:00"
"135","EUREON2Y=",2013-07-04,"10:14:00",0.268,2013-07-04 10:14:00,2013-07-04 12:14:00,"12:14:00"
"136","EUREON2Y=",2013-07-04,"10:15:00",0.268,2013-07-04 10:15:00,2013-07-04 12:15:00,"12:15:00"
"137","EUREON2Y=",2013-07-04,"10:16:00",0.268,2013-07-04 10:16:00,2013-07-04 12:16:00,"12:16:00"
"138","EUREON2Y=",2013-07-04,"10:17:00",0.267,2013-07-04 10:17:00,2013-07-04 12:17:00,"12:17:00"
